date,dengue_cases
2009-01-01,1049
2009-02-01,876
2009-03-01,1037
2009-04-01,1349
2009-05-01,2988
2009-06-01,4060
2009-07-01,3473
2009-08-01,3351
2009-09-01,2164
2009-10-01,1898
2009-11-01,1817
2009-12-01,1132
2010-01-01,1496
2010-02-01,1528
2010-03-01,2020
2010-04-01,1868
2010-05-01,3666
2010-06-01,6631
2010-07-01,10037
2010-08-01,11299
2010-09-01,7463
2010-10-01,3630
2010-11-01,2229
2010-12-01,1282
2011-01-01,1125
2011-02-01,956
2011-03-01,973
2011-04-01,1315
2011-05-01,3501
2011-06-01,5337
2011-07-01,5203
2011-08-01,4352
2011-09-01,2741
2011-10-01,1696
2011-11-01,1615
2011-12-01,945
2012-01-01,857
2012-02-01,938
2012-03-01,1106
2012-04-01,1338
2012-05-01,2412
2012-06-01,4372
2012-07-01,5377
2012-08-01,5080
2012-09-01,4645
2012-10-01,4683
2012-11-01,4938
2012-12-01,3575
2013-01-01,3781
2013-02-01,2918
2013-03-01,3783
2013-04-01,4723
2013-05-01,8784
2013-06-01,16663
2013-07-01,18947
2013-08-01,13555
2013-09-01,6972
2013-10-01,3653
2013-11-01,2574
2013-12-01,1149
2014-01-01,887
2014-02-01,856
2014-03-01,1010
2014-04-01,770
2014-05-01,1436
2014-06-01,2637
2014-07-01,3552
2014-08-01,3365
2014-09-01,2697
2014-10-01,2292
2014-11-01,2237
2014-12-01,1431
2015-01-01,1367
2015-02-01,1160
2015-03-01,1511
2015-04-01,1939
2015-05-01,4645
2015-06-01,7937
2015-07-01,11068
2015-08-01,13461
2015-09-01,12922
2015-10-01,10660
2015-11-01,13731
2015-12-01,6552
2016-01-01,4057
2016-02-01,2505
2016-03-01,2347
2016-04-01,1307
2016-05-01,1230
2016-06-01,2503
2016-07-01,4991
2016-08-01,6676
2016-09-01,5012
2016-10-01,3498
2016-11-01,2627
2016-12-01,1713
2017-01-01,1598
2017-02-01,1229
2017-03-01,1104
2017-04-01,1174
2017-05-01,2230
2017-06-01,4411
2017-07-01,5368
2017-08-01,4812
2017-09-01,3179
2017-10-01,2484
2017-11-01,2512
2017-12-01,1742
2018-01-01,2244
2018-02-01,1996
2018-03-01,2606
2018-04-01,3104
2018-05-01,7291
2018-06-01,13612
2018-07-01,14125
2018-08-01,12420
2018-09-01,9081
2018-10-01,7592
2018-11-01,7256
2018-12-01,5885
2019-01-01,5797
2019-02-01,4984
2019-03-01,5369
2019-04-01,4931
2019-05-01,8350
2019-06-01,18697
2019-07-01,22413
2019-08-01,18209
2019-09-01,14367
2019-10-01,12848
2019-11-01,10418
2019-12-01,4774
2020-01-01,3883
2020-02-01,2787
2020-03-01,2539
2020-04-01,3111
2020-05-01,5805
2020-06-01,9242
2020-07-01,15828
2020-08-01,12527
2020-09-01,7915
2020-10-01,4324
2020-11-01,2967
2020-12-01,1591
2021-01-01,1104
2021-02-01,808
2021-03-01,762
2021-04-01,474
2021-05-01,1089
2021-06-01,1604
2021-07-01,1024
2021-08-01,939
2021-09-01,847
2021-10-01,754
2021-11-01,732
2021-12-01,480
2022-01-01,560
2022-02-01,391
2022-03-01,509
2022-04-01,790
2022-05-01,2293
2022-06-01,6232
2022-07-01,7348
2022-08-01,6543
2022-09-01,5711
2022-10-01,5754
2022-11-01,5972
2022-12-01,4575
2023-01-01,4520
2023-02-01,3312
2023-03-01,3761
2023-04-01,4037
2023-05-01,5601
2023-06-01,13996
2023-07-01,27505
2023-08-01,29155
2023-09-01,20061
2023-10-01,17749
2023-11-01,17462
2023-12-01,12060
2024-01-01,11413
2024-02-01,7123
2024-03-01,5315
2024-04-01,4327
2024-05-01,4968
2024-06-01,7992
2024-07-01,15371
2024-08-01,16119
2024-09-01,11395
2024-10-01,8359
2024-11-01,7006
2024-12-01,5293
2025-01-01,4005
2025-02-01,2269
2025-03-01,2447
